Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Kumar Gandharva,1990,PadmaVibhushan,Madhya Pradesh,Arts,https://en.wikipedia.org/wiki/Kumar_Gandharva,"(1924-04-08)8 April 1924
Sulebhavi,Belgaum District, Karnataka, India",(1924-04-08)8 April 1924,"Sulebhavi,Belgaum District, Karnataka, India","12 January 1992(1992-01-12)(aged 67)
Dewas, India",12 January 1992(1992-01-12)(aged 67),"Dewas, India",,,,,,R. Venkataraman,,No,No
A. P. J. Abdul Kalam,1990,PadmaVibhushan,Tamil Nadu,Science & Engineering,https://en.wikipedia.org/wiki/A._P._J._Abdul_Kalam,"Avul Pakir Jainulabdeen Abdul Kalam
(1931-10-15)15 October 1931
Rameswaram,Madras Presidency,British India
(present-dayTamil Nadu,India)",(1931-10-15)15 October 1931,n/a,"27 July 2015(2015-07-27)(aged 83)
Shillong,Meghalaya, India",27 July 2015(2015-07-27)(aged 83),"Shillong,Meghalaya, India",Indian,,"St. Joseph's College, Tiruchirappalli(BEng)Madras Institute of Technology(MEng)","Defence Research and Development Organisation
Indian Space Research Organisation",Full list,R. Venkataraman,,No,No
Semmangudi Srinivasa Iyer,1990,PadmaVibhushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Semmangudi_Srinivasa_Iyer,"(1908-07-25)25 July 1908
Tirukkodikaval,ThanjavurDistrict,Madras Presidency, India",(1908-07-25)25 July 1908,"Tirukkodikaval,ThanjavurDistrict,Madras Presidency, India","31 October 2003(2003-10-31)(aged 95)
Madras,Tamil Nadu State, India",31 October 2003(2003-10-31)(aged 95),"Madras,Tamil Nadu State, India",,,,,,R. Venkataraman,,No,No
M. Balamuralikrishna,1991,PadmaVibhushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/M._Balamuralikrishna,"(1930-07-06)6 July 1930
Sankaraguptam,East Godavari District,
Madras Presidency,British India(now part ofAndhra Pradesh,India)",(1930-07-06)6 July 1930,"Sankaraguptam,East Godavari District,
Madras Presidency,British India(now part ofAndhra Pradesh,India)","22 November 2016(2016-11-22)(aged 86)
Chennai,Tamil Nadu,India",22 November 2016(2016-11-22)(aged 86),"Chennai,Tamil Nadu,India",,,,,,R. Venkataraman,,Yes,No
M. F. Husain,1991,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/M._F._Husain,"Maqbool Fida Husain
(1915-09-17)17 September 1915
Pandharpur,Bombay Presidency,British India",(1915-09-17)17 September 1915,n/a,"9 June 2011(2011-06-09)(aged 95)
London, England, UK",9 June 2011(2011-06-09)(aged 95),"London, England, UK",Indian (1915—2010)[1]Qatari (2010—2011)[1],,,,"Padma Bhushan(1973)
Padma Vibhushan(1991)",R. Venkataraman,,Yes,No
Hirendranath Mukherjee,1991,PadmaVibhushan,West Bengal,Public Affairs,https://en.wikipedia.org/wiki/Hirendranath_Mukherjee,"(1907-11-23)23 November 1907
Kolkata,Bengal PresidencyBritish India",(1907-11-23)23 November 1907,"Kolkata,Bengal PresidencyBritish India",30 July 2004(2004-07-30)(aged 96),30 July 2004(2004-07-30)(aged 96),n/a,Indian,Bibha Chatterjee,,,,R. Venkataraman,,Yes,No
Gulzarilal Nanda,1991,PadmaVibhushan,Gujarat,Public Affairs,https://en.wikipedia.org/wiki/Gulzarilal_Nanda,"(1898-07-04)4 July 1898
Sialkot,India",(1898-07-04)4 July 1898,"Sialkot,India","15 January 1998(1998-01-15)(aged 99)
Ahmedabad,Gujarat,India",15 January 1998(1998-01-15)(aged 99),"Ahmedabad,Gujarat,India",,Lakshmi,Allahabad University,,,R. Venkataraman,,Yes,No
I. G. Patel,1991,PadmaVibhushan,Gujarat,Science & Engineering,https://en.wikipedia.org/wiki/I._G._Patel,"(1924-11-11)11 November 1924
Vadodara,Gujarat,India",(1924-11-11)11 November 1924,"Vadodara,Gujarat,India","17 July 2005(2005-07-17)(aged 80)
New York City, U.S.",17 July 2005(2005-07-17)(aged 80),"New York City, U.S.",,,"University of Mumbai
University of Cambridge(PhD),The Maharaja Sayajirao University of Baroda",,,R. Venkataraman,"Economist
Indian Economic Service[1][2]",Yes,No
N. G. Ranga,1991,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/N._G._Ranga,"(1900-11-07)7 November 1900
Nidubrolu,Guntur district,Madras Presidency,British India(nowAndhra Pradesh, India)",(1900-11-07)7 November 1900,"Nidubrolu,Guntur district,Madras Presidency,British India(nowAndhra Pradesh, India)",9 June 1995(1995-06-09)(aged 94),9 June 1995(1995-06-09)(aged 94),n/a,Indian,Bharathi Devi,Oxford University,,,R. Venkataraman,"Social, political activist",Yes,No
Khusro Faramurz Rustamji,1991,PadmaVibhushan,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/Khusro_Faramurz_Rustamji,,n/a,n/a,,n/a,n/a,,,,,,R. Venkataraman,,Yes,No
Rajaram Shastri,1991,PadmaVibhushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Rajaram_Shastri,,n/a,n/a,,n/a,n/a,,,,,,R. Venkataraman,,Yes,No
Aruna Asaf Ali,1992,PadmaVibhushan,Delhi,Public Affairs,https://en.wikipedia.org/wiki/Aruna_Asaf_Ali,"Aruna Ganguly
(1909-07-16)16 July 1909
Kalka,Punjab,British India",(1909-07-16)16 July 1909,n/a,"29 July 1996
(aged 87)
New Delhi,India",29 July 1996,"(aged 87)
New Delhi,India",Indian,Asaf Ali​​(m.1928; died1953)​,Sacred Heart Convent,,"International Lenin Peace Prize(1964)
Jawaharlal Nehru Prize(1991)
Padma Vibhushan(1992)
Bharat Ratna(1997)",R. Venkataraman,Political activisteducatorpublisher,No,No
Lakshman Shastri Joshi,1992,PadmaVibhushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Lakshman_Shastri_Joshi,,n/a,n/a,,n/a,n/a,,,,,,R. Venkataraman,,No,No
Mallikarjun Mansur,1992,PadmaVibhushan,Karnataka,Arts,https://en.wikipedia.org/wiki/Mallikarjun_Mansur,"(1910-12-31)31 December 1910
Mansur,Bombay Presidency,British India(in present-dayDharwad,Karnataka, India)",(1910-12-31)31 December 1910,"Mansur,Bombay Presidency,British India(in present-dayDharwad,Karnataka, India)","12 September 1992(1992-09-12)(aged 81)
Dharwad, Karnataka, India",12 September 1992(1992-09-12)(aged 81),"Dharwad, Karnataka, India",,,,,,R. Venkataraman,,No,No
S. I. Padmavati,1992,PadmaVibhushan,Delhi,Medicine,https://en.wikipedia.org/wiki/S._I._Padmavati,"(1917-06-20)20 June 1917
British Burma",(1917-06-20)20 June 1917,British Burma,"29 August 2020(2020-08-29)(aged 103)
New Delhi,India",29 August 2020(2020-08-29)(aged 103),"New Delhi,India",Indian,,,,,R. Venkataraman,"cardiologist, Director National Heart Institute, Delhi
Founder-president, All India Heart Foundation",No,No
Kaloji Narayana Rao,1992,PadmaVibhushan,Andhra Pradesh,Arts,https://en.wikipedia.org/wiki/Kaloji_Narayana_Rao,"(1914-09-09)9 September 1914
Ratthalli,Bijapur
(Karnataka),India",(1914-09-09)9 September 1914,"Ratthalli,Bijapur
(Karnataka),India","13 November 2002(2002-11-13)(aged 88)
Warangal,Andhra Pradesh,
(nowTelangana),India",13 November 2002(2002-11-13)(aged 88),"Warangal,Andhra Pradesh,
(nowTelangana),India",,,,,,R. Venkataraman,,No,No
Ravi Narayana Reddy,1992,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Ravi_Narayana_Reddy,"5 June 1908
Bollepally,Hyderabad State,British India
(now inTelangana, India)",5 June 1908,"Bollepally,Hyderabad State,British India
(now inTelangana, India)","7 September 1991 (aged 83)
Andhra Pradesh, India
(now in Telangana, India)",7 September 1991 (aged 83),"Andhra Pradesh, India
(now in Telangana, India)",,,,,,R. Venkataraman,"Indian independence movement,Telangana Rebellion",No,No
V. Shantaram,1992,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/V._Shantaram,"Shantaram Rajaram Vankudre
(1901-11-18)18 November 1901
Kolhapur,Kolhapur State,British India",(1901-11-18)18 November 1901,n/a,"30 October 1990(1990-10-30)(aged 88)
Bombay,Maharashtra, India",30 October 1990(1990-10-30)(aged 88),"Bombay,Maharashtra, India","British Indian(1901–1947)
Indian(1947–1990)","Vimalabai
​​(m.1921)​Jayashree
​​(m.1941;div.1956)​Sandhya
​​(m.1956)​",,,"Best Director
1957Jhanak Jhanak Payal Baaje
Best Film
1958Do Aankhen Barah Haath
Dadasaheb Phalke Award
1985
Padma Vibhushan
1992
",R. Venkataraman,Film directorproduceractorscreenwriter,No,No
Govinddas Mannulal Shroff,1992,PadmaVibhushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Govinddas_Mannulal_Shroff,,n/a,n/a,,n/a,n/a,Indian,,,,Padma Vibhushan(1992),R. Venkataraman,,No,No
Swaran Singh,1992,PadmaVibhushan,Punjab,Public Affairs,https://en.wikipedia.org/wiki/Swaran_Singh,"Swaran Singh Purewal
(1907-08-19)19 August 1907
Shankar Village,Punjab Province,British India",(1907-08-19)19 August 1907,n/a,"30 October 1994(1994-10-30)(aged 87)
New Delhi,India",30 October 1994(1994-10-30)(aged 87),"New Delhi,India",Indian,Charan Kaur,,,,R. Venkataraman,Politician,No,No
Atal Bihari Vajpayee,1992,PadmaVibhushan,Delhi,Public Affairs,https://en.wikipedia.org/wiki/Atal_Bihari_Vajpayee,"(1924-12-25)25 December 1924
Gwalior,Gwalior State,British India(present-dayMadhya Pradesh,India)",(1924-12-25)25 December 1924,"Gwalior,Gwalior State,British India(present-dayMadhya Pradesh,India)","16 August 2018(2018-08-16)(aged 93)
New Delhi, Delhi, India",16 August 2018(2018-08-16)(aged 93),"New Delhi, Delhi, India",,,"Maharani Laxmi Bai Govt. College of Excellence(BA)DAV College, Kanpur(MA)[a]",,Bharat Ratna(2015)Padma Vibhushan(1992),R. Venkataraman,,No,No
Usha Mehta,1998,PadmaVibhushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Usha_Mehta,"(1920-03-25)25 March 1920
Gujarat, India",(1920-03-25)25 March 1920,"Gujarat, India",11 August 2000(2000-08-11)(aged 80),11 August 2000(2000-08-11)(aged 80),n/a,,,,,Padma Vibhushan(1998),K. R. Narayanan,"Activist, Professor",Yes,No
Nanabhoy Palkhivala,1998,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/Nanabhoy_Palkhivala,"(1920-01-16)16 January 1920
Bombay,Bombay Presidency,British India",(1920-01-16)16 January 1920,"Bombay,Bombay Presidency,British India","11 December 2002(2002-12-11)(aged 82)
Mumbai, India",11 December 2002(2002-12-11)(aged 82),"Mumbai, India",Indian,,,,,K. R. Narayanan,"Jurist,Economist",Yes,No
Lakshmi Sahgal,1998,PadmaVibhushan,Uttar Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Lakshmi_Sahgal,"Lakshmi Swaminathan
(1914-10-24)24 October 1914
Anakkara,Madras Presidency,British India
(present dayPalakkad,Kerala, India)",(1914-10-24)24 October 1914,n/a,"23 July 2012(2012-07-23)(aged 97)
Kanpur,Uttar Pradesh, India",23 July 2012(2012-07-23)(aged 97),"Kanpur,Uttar Pradesh, India",Indian,P. K. N. Rao​(m.before 1940)​Prem Kumar Sahgal​​(m.1947; died 1992)​,,,,K. R. Narayanan,,Yes,No
Walter Sisulu,1998,PadmaVibhushan,—[D],Public Affairs,https://en.wikipedia.org/wiki/Walter_Sisulu,"Walter Max Ulyate Sisulu
(1912-05-18)18 May 1912
Ngcobo,Transkei(nowEastern Cape), South Africa",(1912-05-18)18 May 1912,n/a,5 May 2003(2003-05-05)(aged 90),5 May 2003(2003-05-05)(aged 90),n/a,,Albertina Sisulu​(m.1944)​,,,,K. R. Narayanan,,Yes,No
Pandurang Shastri Athavale,1999,PadmaVibhushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Pandurang_Shastri_Athavale,"(1920-10-19)19 October 1920
Roha, Bombay State,British India",(1920-10-19)19 October 1920,"Roha, Bombay State,British India","25 October 2003(2003-10-25)(aged 83)
Mumbai, Maharashtra, India",25 October 2003(2003-10-25)(aged 83),"Mumbai, Maharashtra, India",,Nirmala Tai Athavale,,,1999Padma Vibhushan1997Templeton Prize1996Ramon Magsaysay Award1986Vision of God1992Lokmanya Tilak Award1996National Integration Award,K. R. Narayanan,,Yes,No
Rajagopala Chidambaram,1999,PadmaVibhushan,Maharashtra,Science & Engineering,https://en.wikipedia.org/wiki/Rajagopala_Chidambaram,"(1936-11-12)12 November 1936(age 84)
Chennai, Tamil Nadu,
India",(1936-11-12)12 November 1936(age 84),"Chennai, Tamil Nadu,
India",,n/a,n/a,India,,"University of Madras,
Indian Institute of Science","Atomic Energy Commission (India)
Atomic Research Centre, Mumbai
Department of Atomic Energy
International Atomic Energy Agency
Defence Research and Development Organisation
Indian Institute of Technology
University of Hyderabad","Padma Shri(1975),
Padma Vibhushan(1999)",K. R. Narayanan,,Yes,No
Nanaji Deshmukh,1999,PadmaVibhushan,Delhi,Social Work,https://en.wikipedia.org/wiki/Nanaji_Deshmukh,"Chandikadas Amritrao Deshmukh
(1916-10-11)11 October 1916
Kadoli,
Parbhani District,
Hyderabad State
British India
(Present day:
Kadoli,
Hingoli District,
Maharashtra,
Republic of India)",(1916-10-11)11 October 1916,n/a,"27 February 2010(2010-02-27)(aged 93)
Chitrakoot,
Satna District,
Madhya Pradesh,
India",27 February 2010(2010-02-27)(aged 93),"Chitrakoot,
Satna District,
Madhya Pradesh,
India",Indian,,BITS Pilani,,"Bharat Ratna(January 2019)
Padma Vibhushan(1999)",K. R. Narayanan,,Yes,No
Sarvepalli Gopal,1999,PadmaVibhushan,Tamil Nadu,Literature & Education,https://en.wikipedia.org/wiki/Sarvepalli_Gopal,"(1923-04-23)23 April 1923
Chennai,India",(1923-04-23)23 April 1923,"Chennai,India","20 April 2002(2002-04-20)(aged 78)
Chennai,Tamil Nadu,India",20 April 2002(2002-04-20)(aged 78),"Chennai,Tamil Nadu,India",Indian,Kaveri/Indira Ramaswami (1949),,,"Padma Vibhushan, 1999 (for his contribution to Indian history)[1]",K. R. Narayanan,Historian,Yes,No
Satish Gujral,1999,PadmaVibhushan,Delhi,Arts,https://en.wikipedia.org/wiki/Satish_Gujral,"Satish Gujral
(1925-12-25)25 December 1925
Jhelum,Punjab,British India",(1925-12-25)25 December 1925,n/a,"26 March 2020(2020-03-26)(aged 94)
New Delhi,India",26 March 2020(2020-03-26)(aged 94),"New Delhi,India",Indian,Kiran,,,Padma Vibhushan1999,K. R. Narayanan,,Yes,No
V. R. Krishna Iyer,1999,PadmaVibhushan,Kerala,Public Affairs,https://en.wikipedia.org/wiki/V._R._Krishna_Iyer,"(1915-11-15)15 November 1915
Palakkad,Madras Presidency,British India",(1915-11-15)15 November 1915,"Palakkad,Madras Presidency,British India","4 December 2014(2014-12-04)(aged 99)
Kochi,Kerala, India",4 December 2014(2014-12-04)(aged 99),"Kochi,Kerala, India",Indian,Sarada​(m.1941⁠–⁠1974)​,,,,K. R. Narayanan,,Yes,No
Bhimsen Joshi,1999,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Bhimsen_Joshi,"(1922-02-04)4 February 1922
Ron Taluka, Gadag district,Karnataka,India",(1922-02-04)4 February 1922,"Ron Taluka, Gadag district,Karnataka,India","24 January 2011(2011-01-24)(aged 88)
Pune,Maharashtra,India",24 January 2011(2011-01-24)(aged 88),"Pune,Maharashtra,India",Indian,,,,Padma Shri(1972)Padma Bhushan(1985)Sangeet Natak Akademi Fellowship(1998)Padma Vibhushan(1999)Bharat Ratna(2008),K. R. Narayanan,Hindustani ClassicalVocalist,Yes,No
Hans Raj Khanna,1999,PadmaVibhushan,Delhi,Public Affairs,https://en.wikipedia.org/wiki/Hans_Raj_Khanna,"(1912-07-03)3 July 1912
Amritsar,Punjab,British India",(1912-07-03)3 July 1912,"Amritsar,Punjab,British India","25 February 2008(2008-02-25)(aged 95)
New Delhi, India",25 February 2008(2008-02-25)(aged 95),"New Delhi, India",,Uma Mehra,Panjab University,,,K. R. Narayanan,,Yes,No
Verghese Kurien,1999,PadmaVibhushan,Gujarat,Science & Engineering,https://en.wikipedia.org/wiki/Verghese_Kurien,"(1921-11-26)26 November 1921
Calicut,Madras Presidency,British India(nowKozhikode,Kerala, India)",(1921-11-26)26 November 1921,"Calicut,Madras Presidency,British India(nowKozhikode,Kerala, India)","9 September 2012(2012-09-09)(aged 90)
Nadiad,Gujarat, India",9 September 2012(2012-09-09)(aged 90),"Nadiad,Gujarat, India",,,,,"World Food Prize(1989)
Order of Agricultural Merit(1997)
Padma Vibhushan(1999)
Padma Bhushan(1966)
Padma Shri(1965)
Ramon Magsaysay Award(1964)",K. R. Narayanan,"General Manager and later chairman, AMUL, Chairman – NDDB (National Dairy Development Board) and IRMA (Institute of Rural Management, Anand, Bombay province (later Bombay state and now in Gujarat, India))",Yes,No
Lata Mangeshkar,1999,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Lata_Mangeshkar,"Hema Mangeshkar
(1929-09-28)28 September 1929(age 92)[1]
Indore,Indore State,Central India Agency,British India
(present-dayMadhya Pradesh,India)",(1929-09-28)28 September 1929(age 92)[1],n/a,,n/a,n/a,,,,,National Film AwardsBFJA AwardsFilmfare Award for Best Female Playback SingerFilmfareSpecial AwardsFilmfare Lifetime Achievement Award,K. R. Narayanan,Playback singermusic directorproducer,Yes,No
Braj Kumar Nehru,1999,PadmaVibhushan,Himachal Pradesh,Civil Service,https://en.wikipedia.org/wiki/Braj_Kumar_Nehru,"(1909-09-04)4 September 1909
Allahabad,United Provinces of Agra and Oudh,British India",(1909-09-04)4 September 1909,"Allahabad,United Provinces of Agra and Oudh,British India","31 October 2001(2001-10-31)(aged 92)
Kasauli,Himachal Pradesh, India",31 October 2001(2001-10-31)(aged 92),"Kasauli,Himachal Pradesh, India",,"Shobha (""Fori"") Nehru (née Magdolna Friedman)​​(m.1935)​[1]",Allahabad UniversityOxford UniversityLondon School of Economics,,,K. R. Narayanan,,Yes,No
D. K. Pattammal,1999,PadmaVibhushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/D._K._Pattammal,(1919-03-19)19 March 1919,(1919-03-19)19 March 1919,n/a,"16 July 2009(2009-07-16)(aged 90)
Chennai, India",16 July 2009(2009-07-16)(aged 90),"Chennai, India",,,,,,K. R. Narayanan,,Yes,No
Lallan Prasad Singh[iv]#,1999,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Lallan_Prasad_Singh,,n/a,n/a,,n/a,n/a,,,,,,K. R. Narayanan,,Yes,Yes
Dharma Vira,1999,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Dharma_Vira,"20 January 1906
Bijnor,United Provinces,British India",20 January 1906,"Bijnor,United Provinces,British India","16 September 2000(2000-09-16)(aged 94)
New Delhi,India",16 September 2000(2000-09-16)(aged 94),"New Delhi,India",,Dayavati Ganga,"University of London
Muir Central College",,Padma Vibhushan,K. R. Narayanan,,Yes,No
Sikander Bakht,2000,PadmaVibhushan,Delhi,Public Affairs,https://en.wikipedia.org/wiki/Sikander_Bakht,"24 August 1918(1918-08-24)
Delhi,British India",24 August 1918(1918-08-24),"Delhi,British India","23 February 2004(2004-02-23)(aged 85)
Thiruvananthapuram, Kerala, India",23 February 2004(2004-02-23)(aged 85),"Thiruvananthapuram, Kerala, India",Indian,,"Anglo-Arabic College, Delhi",,,K. R. Narayanan,,No,No
Jagdish Bhagwati,2000,PadmaVibhushan,—[B],Literature & Education,https://en.wikipedia.org/wiki/Jagdish_Bhagwati,"(1934-07-26)July 26, 1934(age 87)
Bombay,British India","(1934-07-26)July 26, 1934(age 87)","Bombay,British India",,n/a,n/a,,Padma Desai,,,Padma Vibhushan,K. R. Narayanan,,No,No
Hariprasad Chaurasia,2000,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Hariprasad_Chaurasia,"(1938-07-01)1 July 1938(age 83)
Allahabad,United Provinces,British India(nowPrayagraj,Uttar Pradesh, India)",(1938-07-01)1 July 1938(age 83),"Allahabad,United Provinces,British India(nowPrayagraj,Uttar Pradesh, India)",,n/a,n/a,,,,,,K. R. Narayanan,,No,No
M. S. Gill,2000,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/M._S._Gill,(1936-06-14)14 June 1936(age 85),(1936-06-14)14 June 1936(age 85),n/a,,n/a,n/a,Indian,"Vinnie Gill
​​(m.1965)​",,,,K. R. Narayanan,Civil servant,No,No
Krishnaswamy Kasturirangan,2000,PadmaVibhushan,Karnataka,Science & Engineering,https://en.wikipedia.org/wiki/Krishnaswamy_Kasturirangan,"(1940-10-24)24 October 1940(age 80)
Ernakulam,Kingdom of Cochin,British India",(1940-10-24)24 October 1940(age 80),"Ernakulam,Kingdom of Cochin,British India",,n/a,n/a,Indian,,,"National Institute of Advanced Studies
Indian Space Research Organisation",Padma Vibhushan,K. R. Narayanan,,No,No
K. B. Lall,2000,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/K._B._Lall,"1917
Channi",1917,Channi,"2005
Mumbai",2005,Mumbai,,,,,,K. R. Narayanan,Principal Defence Secretary of India,No,No
Kelucharan Mohapatra,2000,PadmaVibhushan,Odisha,Arts,https://en.wikipedia.org/wiki/Kelucharan_Mohapatra,"(1926-01-08)8 January 1926
Raghurajpur,Puri,Odisha, India",(1926-01-08)8 January 1926,"Raghurajpur,Puri,Odisha, India","7 April 2004(2004-04-07)(aged 78)
Bhubaneswar, Odisha, India",7 April 2004(2004-04-07)(aged 78),"Bhubaneswar, Odisha, India",,Laxmipriya Mohapatra[1],,,Padma Vibhushan,K. R. Narayanan,"Indian classical dancer,choreographer",No,No
Jasraj Motiram,2000,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Jasraj,"(1930-01-28)28 January 1930
Hisar,British Punjab
(nowFatehabad, Haryana, India)",(1930-01-28)28 January 1930,"Hisar,British Punjab
(nowFatehabad, Haryana, India)","17 August 2020(2020-08-17)(aged 90)
New Jersey, U.S.",17 August 2020(2020-08-17)(aged 90),"New Jersey, U.S.",,Madhura Shantaram​(m.1962)​,,,Seeawards and honours,K. R. Narayanan,"Singer, music teacher, tabla player",No,No
M. Narasimham,2000,PadmaVibhushan,Andhra Pradesh,Trade & Industry,https://en.wikipedia.org/wiki/M._Narasimham,"Maidavolu Narasimham
3 June 1927(1927-06-03)
Nellore,Madras Presidency,British India(present-dayAndhra Pradesh,India)[1]",3 June 1927(1927-06-03),n/a,"20 April 2021(2021-04-21)(aged 93)
Hyderabad,Telangana, India",20 April 2021(2021-04-21)(aged 93),"Hyderabad,Telangana, India",Indian,,,,,K. R. Narayanan,,No,No
R. K. Narayan,2000,PadmaVibhushan,Tamil Nadu,Literature & Education,https://en.wikipedia.org/wiki/R._K._Narayan,"Rasipuram Krishnaswami Iyer Narayanaswami
(1906-10-10)10 October 1906
Madras(now Chennai),Madras Presidency(Tamil Nadu),British India(India)",(1906-10-10)10 October 1906,n/a,"13 May 2001(2001-05-13)(aged 94)
Chennai,Tamil Nadu,India",13 May 2001(2001-05-13)(aged 94),"Chennai,Tamil Nadu,India",Indian,Rajam​​(m.1934; died 1939)​,,,"Padma Vibhushan,Sahitya Akademi Fellowship,Benson Medal",K. R. Narayanan,Writer,No,No
B. D. Pande,2000,PadmaVibhushan,Uttar Pradesh,Civil Service,https://en.wikipedia.org/wiki/B._D._Pande,"17 March 1917
Almora district,Uttarakhand,British India",17 March 1917,"Almora district,Uttarakhand,British India","4 April 2009(2009-04-04)(aged 92)[citation needed]
Almora[citation needed]",4 April 2009(2009-04-04)(aged 92)[citation needed],Almora[citation needed],,Vimla,,,"Padma Vibhushan,Padma Shri",K. R. Narayanan,Indian Civil Service,No,No
K. N. Raj,2000,PadmaVibhushan,Kerala,Literature & Education,https://en.wikipedia.org/wiki/K._N._Raj,"13 May 1924
Thrissur District",13 May 1924,Thrissur District,"10 February 2010 (aged 85)
Thiruvananthapuram",10 February 2010 (aged 85),Thiruvananthapuram,,,,,,K. R. Narayanan,Economist,No,No
Tarlok Singh,2000,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Tarlok_Singh_(economist),,n/a,n/a,,n/a,n/a,,,,,,K. R. Narayanan,,No,No
John Kenneth Galbraith,2001,PadmaVibhushan,—[B],Literature & Education,https://en.wikipedia.org/wiki/John_Kenneth_Galbraith,"(1908-10-15)October 15, 1908
Iona Station, Ontario, Canada","(1908-10-15)October 15, 1908","Iona Station, Ontario, Canada","April 29, 2006(2006-04-29)(aged 97)
Cambridge, Massachusetts, U.S.","April 29, 2006(2006-04-29)(aged 97)","Cambridge, Massachusetts, U.S.",,Catherine Merriam Atwater​​(m.1937)​,,,"Lomonosov Gold Medal(1993)
Officer of theOrder of Canada(1997)
Presidential Medal of Freedom(2000)",K. R. Narayanan,,No,No
Benjamin A. Gilman,2001,PadmaVibhushan,—[B],Public Affairs,https://en.wikipedia.org/wiki/Benjamin_A._Gilman,"Benjamin Arthur Gilman
(1922-12-06)December 6, 1922
Poughkeepsie,New York","(1922-12-06)December 6, 1922",n/a,"December 17, 2016(2016-12-17)(aged 94)
Wappingers Falls, New York","December 17, 2016(2016-12-17)(aged 94)","Wappingers Falls, New York",,"Jane Prizant (divorced, 1954–1978; 5 children)
Rita Kelhofer (divorced; 1984–1997)
Georgia Tingus (1997-2016; his death)","University of Pennsylvania(BS)
New York Law School(LLB)",,,K. R. Narayanan,,No,No
Amjad Ali Khan,2001,PadmaVibhushan,Delhi,Arts,https://en.wikipedia.org/wiki/Amjad_Ali_Khan,"(1945-10-09)9 October 1945(age 76)[1]
Gwalior,Gwalior State,British India",(1945-10-09)9 October 1945(age 76)[1],"Gwalior,Gwalior State,British India",,n/a,n/a,,,,,,K. R. Narayanan,,No,No
Zubin Mehta,2001,PadmaVibhushan,—[B],Arts,https://en.wikipedia.org/wiki/Zubin_Mehta,"(1936-04-29)29 April 1936(age 85)
Bombay,Bombay Presidency,British India
(nowMumbai,Maharashtra, India)",(1936-04-29)29 April 1936(age 85),"Bombay,Bombay Presidency,British India
(nowMumbai,Maharashtra, India)",,n/a,n/a,,"Carmen Lasky​​(m.1958;div.1964)​
Nancy Kovack​(m.1969)​",,,,K. R. Narayanan,Conductor,No,No
Hrishikesh Mukherjee,2001,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Hrishikesh_Mukherjee,"(1922-09-30)30 September 1922
Calcutta,British India(present-dayKolkata,India)",(1922-09-30)30 September 1922,"Calcutta,British India(present-dayKolkata,India)","27 August 2006(2006-08-27)(aged 83)
Mumbai, India",27 August 2006(2006-08-27)(aged 83),"Mumbai, India",,,,,,K. R. Narayanan,Film directorscreenwriter,No,No
Kotha Satchidanda Murthy,2001,PadmaVibhushan,Andhra Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Kotha_Satchidanda_Murthy,"(1924-09-25)25 September 1924
Sangam Jagarlamudi, Guntur district, India",(1924-09-25)25 September 1924,"Sangam Jagarlamudi, Guntur district, India","25 January 2011(2011-01-25)(aged 86)
Guntur, Andhra Pradesh",25 January 2011(2011-01-25)(aged 86),"Guntur, Andhra Pradesh",,,,Andhra UniversitySri Venkateswara UniversityUniversity Grants CommissionCentral University for Tibetan Studies,Padma BhushanPadma Vibhushan,K. R. Narayanan,,No,No
